WRN 2026-08-28T15:18:39.310 ui.119992  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-28T15:18:39.310 ui.119992  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-28T15:18:39.310 ui.119992  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-28T15:18:39.310 ui.119992  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-28T15:18:39.310 ui.119992  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-28T15:19:05.318 ui.124087  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-28T15:19:05.318 ui.124087  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-28T15:19:05.318 ui.124087  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-28T15:19:05.318 ui.124087  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-28T15:19:05.318 ui.124087  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-28T15:19:41.045 ui.125617  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-28T15:19:41.045 ui.125617  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-28T15:19:41.045 ui.125617  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-28T15:19:41.045 ui.125617  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-28T15:19:41.045 ui.125617  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-28T15:20:34.838 ui.127960  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-28T15:20:34.838 ui.127960  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-28T15:20:34.838 ui.127960  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-28T15:20:34.839 ui.127960  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-28T15:20:34.839 ui.127960  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-28T15:25:21.910 ui.139229  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-28T15:25:21.910 ui.139229  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-28T15:25:21.910 ui.139229  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-28T15:25:21.910 ui.139229  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-28T15:25:21.910 ui.139229  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-29T05:32:49.465 ui.5042    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-29T05:32:49.466 ui.5042    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-29T05:32:49.466 ui.5042    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-29T05:32:49.466 ui.5042    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-29T05:32:49.466 ui.5042    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-29T06:09:10.074 ui.43123   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-29T06:09:10.074 ui.43123   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-29T06:09:10.074 ui.43123   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-29T06:09:10.074 ui.43123   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-29T06:09:10.074 ui.43123   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-29T06:15:22.872 ui.84577   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-29T06:15:22.872 ui.84577   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-29T06:15:22.872 ui.84577   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-29T06:15:22.872 ui.84577   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-29T06:15:22.872 ui.84577   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-29T06:15:30.540 ui.84980   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-29T06:15:30.540 ui.84980   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-29T06:15:30.540 ui.84980   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-29T06:15:30.541 ui.84980   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-29T06:15:30.541 ui.84980   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-29T06:18:45.616 ui.101271  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-29T06:18:45.616 ui.101271  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-29T06:18:45.616 ui.101271  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-29T06:18:45.619 ui.101271  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-29T06:18:45.620 ui.101271  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-29T06:19:03.779 ui.102429  tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-29T06:19:03.779 ui.102429  tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-08-29T06:19:03.779 ui.102429  tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-08-29T06:19:03.779 ui.102429  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-08-29T06:19:03.780 ui.102429  tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-08-29T09:52:05.879 ui.3599    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-08-29T09:52:05.880 ui.3599    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
